Folder Name,Effect Class,Effect Type,Device,Model,Analog/Digital/SPICE,clip_id,num_conds,Model Architecture,Loss Function Type,Unnamed: 10,Signal Type,paper_id,demo_filename,mfcc_l1,log_mfcc_l1,predicted_mushra,emulation_relpath,reference_relpath,emulation_exists,reference_exists
WillCassidy-devPeavey6505,Nonlinear Distortion,Amplifier,Peavey6505,LSTMMetal,Analog,2,7,RNN,Time,,,WillCassidy,WillCassidy-devPeavey6505/LSTMMetal-2.wav,1.6128583872452733,0.2075962369873124,100.0,WillCassidy-devPeavey6505/LSTMMetal-2.wav,WillCassidy-devPeavey6505/REF-2.wav,True,True
RealTimeDeepLearning-devMesa550,Nonlinear Distortion,Amplifier,Mesa550,RNN96,Analog,3,5,RNN,Time,,Guitar,RealTimeDeepLearning,RealTimeDeepLearning-devMesa550/RNN96-3.wav,0.4892544033252879,-0.3104652569703824,100.0,RealTimeDeepLearning-devMesa550/RNN96-3.wav,RealTimeDeepLearning-devMesa550/REF-3.wav,True,True
GBoxLim-devB1M3T7G5,Nonlinear Distortion,Amplifier,Marshall JVM410H,TS3,Analog,2,5,DDSP,Time,,,GBoxLim,GBoxLim-devB1M3T7G5/TS3-2.wav,1.210397105031095,0.08292787629196093,100.0,GBoxLim-devB1M3T7G5/TS3-2.wav,GBoxLim-devB1M3T7G5/REF-2.wav,True,True
RealTimeBBox-devHT1ISF0,Nonlinear Distortion,Amplifier,HT-1,LSTM64,Analog,2,4,RNN,Time,,,RealTimeBBox,RealTimeBBox-devHT1ISF0/LSTM64-2.wav,2.8920020333644487,0.4611985939747233,100.0,RealTimeBBox-devHT1ISF0/LSTM64-2.wav,RealTimeBBox-devHT1ISF0/REF-2.wav,True,True
RealTimeBBox-devHT1ISF5,Nonlinear Distortion,Amplifier,HT-1,LSTM64,Analog,4,4,RNN,Time,,,RealTimeBBox,RealTimeBBox-devHT1ISF5/LSTM64-4.wav,3.425949131918167,0.5347809103249815,95.08780482344628,RealTimeBBox-devHT1ISF5/LSTM64-4.wav,RealTimeBBox-devHT1ISF5/REF-4.wav,True,True
RealTimeDeepLearning-devMesa550,Nonlinear Distortion,Amplifier,Mesa550,WaveNet1,Analog,6,5,Conv,Time,,Guitar,RealTimeDeepLearning,RealTimeDeepLearning-devMesa550/WaveNet1-6.wav,4.208053548358493,0.6240812576686486,88.89036071779579,RealTimeDeepLearning-devMesa550/WaveNet1-6.wav,RealTimeDeepLearning-devMesa550/REF-6.wav,True,True
RealTimeBBox-devHT1ISF0,Nonlinear Distortion,Amplifier,HT-1,GRU32,Analog,4,4,RNN,Time,,,RealTimeBBox,RealTimeBBox-devHT1ISF0/GRU32-4.wav,5.518948301197419,0.7418563258264805,80.71677098764225,RealTimeBBox-devHT1ISF0/GRU32-4.wav,RealTimeBBox-devHT1ISF0/REF-4.wav,True,True
RealTimeDeepLearning-devHT5,Nonlinear Distortion,Amplifier,HT-5,MLP,Analog,6,5,MLP,Time,,Guitar,RealTimeDeepLearning,RealTimeDeepLearning-devHT5/MLP-6.wav,6.650526652145874,0.8228560382451192,75.09539094578872,RealTimeDeepLearning-devHT5/MLP-6.wav,RealTimeDeepLearning-devHT5/REF-6.wav,True,True
DiffIIR-devDS1,Nonlinear Distortion,Distortion,DS-1,tdf2,Analog,3,4,DDSP,Time,,Guitar,DiffIIR,DiffIIR-devDS1/tdf2-3.wav,7.990047088176394,0.9025493387726786,69.5646758891761,DiffIIR-devDS1/tdf2-3.wav,DiffIIR-devDS1/REF-3.wav,True,True
GBoxLim-devB10M0T0G5,Nonlinear Distortion,Amplifier,Marshall JVM410H,RNN21,Analog,5,5,RNN,Time,,,GBoxLim,GBoxLim-devB10M0T0G5/RNN21-5.wav,9.4774299091876,0.976690581263535,64.41927366031067,GBoxLim-devB10M0T0G5/RNN21-5.wav,GBoxLim-devB10M0T0G5/REF-5.wav,True,True
GBoxLim-devB1M3T7G5,Nonlinear Distortion,Amplifier,Marshall JVM410H,RNN3,Analog,3,5,RNN,Time,,,GBoxLim,GBoxLim-devB1M3T7G5/RNN3-3.wav,12.454367886568024,1.095321690094769,56.18627470742302,GBoxLim-devB1M3T7G5/RNN3-3.wav,GBoxLim-devB1M3T7G5/REF-3.wav,True,True
GANAMP-devLightDist,Nonlinear Distortion,Amplifier,Amplifier,MultiSpecCritmel14,Digital,1,3,Conv,Adversarial,,,GANAMP,GANAMP-devLightDist/MultiSpecCritmel14-1.wav,16.606993461561963,1.220291014676529,47.51340358144889,GANAMP-devLightDist/MultiSpecCritmel14-1.wav,GANAMP-devLightDist/REF-1.wav,True,True
